HugoSymbol	grch38RefSeq	grch38Isoform
A1CF		ENST00000373993
AAMP	NM_001087.5	ENST00000248450
ABCB1	NM_001348946.2	ENST00000622132
ABCC3	NM_003786.4	ENST00000285238
ABL1	NM_005157.4	ENST00000318560
ABL2	NM_007314.3	ENST00000502732
ABRAXAS1	NM_139076.2	ENST00000321945
ACACA	NM_198834.3	ENST00000616317
ACKR3	NM_020311	ENST00000272928
ACP3	NM_001099.5	ENST00000336375
ACSL4	NM_004458.3	ENST00000672401
ACTG1	NM_001199954.1	ENST00000573283
ACVR1	NM_001111067.2	ENST00000263640
ACVR1B	NM_004302	ENST00000257963
ACVR2A	NM_001278579	ENST00000241416
ADAR	NM_001111.5	ENST00000368474
ADARB2	NM_018702.4	ENST00000381312
ADGRA2	NM_032777	ENST00000412232
ADGRG4	NM_153834.4	ENST00000394143
ADHFE1	NM_144650	ENST00000396623
AFDN	NM_001386888.1	ENST00000683244
AFF4	NM_014423	ENST00000265343
AGGF1	NM_018046.5	ENST00000312916
AGK	NM_018238.4	ENST00000649286
AGO1	NM_012199.2	ENST00000373204
AGO2	NM_012154.3	ENST00000220592
AIM2	NM_004833.3	ENST00000368130
AIP	NM_003977.4	ENST00000279146
AJUBA	NM_032876.5	ENST00000262713
AKT1	NM_001014431.1	ENST00000349310
AKT1S1	NM_001098633.4	ENST00000344175
AKT2	NM_001626.4	ENST00000392038
AKT3	NM_005465.4	ENST00000263826
ALB	NM_000477.5	ENST00000295897
ALDH1A3	NM_000693.4	ENST00000329841
ALDH1L2	NM_001034173	ENST00000258494
ALDH2	NM_000690	ENST00000261733
ALK	NM_004304.4	ENST00000389048
ALOX12B	NM_001139.2	ENST00000647874
ALOX15B	NM_001141.3	ENST00000380183
ALOX5	NM_000698.5	ENST00000374391
AMER1	NM_152424.3	ENST00000374869
ANK1	NM_000037.4	ENST00000289734
ANKRD11	NM_013275.5	ENST00000301030
ANKRD26	NM_014915.3	ENST00000376087
APC	NM_000038.5	ENST00000257430
APCDD1	NM_153000.5	ENST00000355285
APEX1	NM_001641.4	ENST00000216714
APLNR	NM_005161.4	ENST00000257254
APOBEC3B	NM_004900.5	ENST00000333467
AR	NM_000044.3	ENST00000374690
ARAF	NM_001654.4	ENST00000377045
ARHGAP26	NM_015071	ENST00000274498
ARHGAP35	NM_004491.5	ENST00000672722
ARHGEF12	NM_015313	ENST00000397843
ARHGEF28	NM_001177693.1	ENST00000426542
ARID1A	NM_006015.4	ENST00000324856
ARID1B		ENST00000636930
ARID2	NM_152641.2	ENST00000334344
ARID3A	NM_005224.2	ENST00000263620
ARID3B	NM_001307939.1	ENST00000346246
ARID3C	NM_001017363.1	ENST00000378909
ARID4A	NM_002892.3	ENST00000355431
ARID4B	NM_001206794.1	ENST00000264183
