# Transcript IDs from the BED file provided by Birmingham, annotated with information
# from MANE.GRCh38.v1.5.summary.txt.gz
# (https://ftp.ncbi.nlm.nih.gov/refseq/MANE/MANE_human/release_1.5/)
#
# This analysis was suggested by the team to determine how many TSO500 transcripts
# correspond to MANE Select or MANE Plus Clinical transcripts.

TSO500_transcripts	#NCBI_GeneID	Ensembl_Gene	HGNC_ID	symbol	name	RefSeq_nuc	RefSeq_prot	Ensembl_nuc	Ensembl_prot	MANE_status	GRCh38_chr	chr_start	chr_end	chr_strand
NM_000248.4	GeneID:4286	ENSG00000187098.20	HGNC:7105	MITF	melanocyte inducing transcription factor	NM_000248.4	NP_000239.1	ENST00000394351.9	ENSP00000377880.3	MANE Plus Clinical	NC_000003.12	69936592	69968332	+
NM_001114980.2	GeneID:8626	ENSG00000073282.15	HGNC:15979	TP63	tumor protein p63	NM_001114980.2	NP_001108452.1	ENST00000354600.10	ENSP00000346614.5	MANE Plus Clinical	NC_000003.12	189789659	189897276	+
NM_001128425.2	GeneID:4595	ENSG00000132781.24	HGNC:7527	MUTYH	mutY DNA glycosylase	NM_001128425.2	NP_001121897.1	ENST00000710952.2	ENSP00000518552.2	MANE Plus Clinical	NC_000001.11	45329242	45340440	-
NM_001136139.4	GeneID:6929	ENSG00000071564.21	HGNC:11633	TCF3	transcription factor 3	NM_001136139.4	NP_001129611.1	ENST00000588136.7	ENSP00000468487.1	MANE Plus Clinical	NC_000019.10	1609292	1652615	-
NM_001913.5	GeneID:1523	ENSG00000257923.14	HGNC:2557	CUX1	cut like homeobox 1	NM_001913.5	NP_001904.2	ENST00000622516.6	ENSP00000484760.2	MANE Plus Clinical	NC_000007.14	101816007	102283958	+
NM_058195.4	GeneID:1029	ENSG00000147889.19	HGNC:1787	CDKN2A	cyclin dependent kinase inhibitor 2A	NM_058195.4	NP_478102.2	ENST00000579755.2	ENSP00000462950.1	MANE Plus Clinical	NC_000009.12	21967752	21994392	-
NM_000038.6	GeneID:324	ENSG00000134982.21	HGNC:583	APC	APC regulator of Wnt signaling pathway	NM_000038.6	NP_000029.2	ENST00000257430.9	ENSP00000257430.4	MANE Select	NC_000005.10	112737885	112846239	+
NM_000043.6	GeneID:355	ENSG00000026103.26	HGNC:11920	FAS	Fas cell surface death receptor	NM_000043.6	NP_000034.1	ENST00000652046.1	ENSP00000498466.1	MANE Select	NC_000010.11	88990798	89017059	+
NM_000044.6	GeneID:367	ENSG00000169083.19	HGNC:644	AR	androgen receptor	NM_000044.6	NP_000035.2	ENST00000374690.9	ENSP00000363822.3	MANE Select	NC_000023.11	67544021	67730619	+
NM_000051.4	GeneID:472	ENSG00000149311.24	HGNC:795	ATM	ATM serine/threonine kinase	NM_000051.4	NP_000042.3	ENST00000675843.1	ENSP00000501606.1	MANE Select	NC_000011.10	108223067	108369102	+
NM_000057.4	GeneID:641	ENSG00000197299.15	HGNC:1058	BLM	BLM RecQ like helicase	NM_000057.4	NP_000048.1	ENST00000355112.8	ENSP00000347232.3	MANE Select	NC_000015.10	90717346	90816166	+
NM_000059.4	GeneID:675	ENSG00000139618.19	HGNC:1101	BRCA2	BRCA2 DNA repair associated	NM_000059.4	NP_000050.3	ENST00000380152.8	ENSP00000369497.3	MANE Select	NC_000013.11	32315508	32400268	+
NM_000061.3	GeneID:695	ENSG00000010671.20	HGNC:1133	BTK	Bruton tyrosine kinase	NM_000061.3	NP_000052.1	ENST00000308731.8	ENSP00000308176.8	MANE Select	NC_000023.11	101349450	101386191	-
NM_000075.4	GeneID:1019	ENSG00000135446.19	HGNC:1773	CDK4	cyclin dependent kinase 4	NM_000075.4	NP_000066.1	ENST00000257904.11	ENSP00000257904.5	MANE Select	NC_000012.12	57747727	57752310	-
NM_000077.5	GeneID:1029	ENSG00000147889.19	HGNC:1787	CDKN2A	cyclin dependent kinase inhibitor 2A	NM_000077.5	NP_000068.1	ENST00000304494.10	ENSP00000307101.5	MANE Select	NC_000009.12	21967752	21974857	-
NM_000122.2	GeneID:2071	ENSG00000163161.16	HGNC:3435	ERCC3	"ERCC excision repair 3, TFIIH core complex helicase subunit"	NM_000122.2	NP_000113.1	ENST00000285398.7	ENSP00000285398.2	MANE Select	NC_000002.12	127257290	127294144	-
